Detector,Descriptor,Matcher,Selector,Combination,TTC_Camera_Avg,TTC_Camera_Std,TTC_Camera_Min,TTC_Camera_Max
AKAZE,FREAK,MAT_FLANN,SEL_KNN,AKAZE_FREAK_MAT_FLANN_SEL_KNN,12.58875278,2.397878446,9.07298,17.381
AKAZE,AKAZE,MAT_BF,SEL_NN,AKAZE_AKAZE_MAT_BF_SEL_NN,12.37848667,2.199156838,9.05369,16.5039
AKAZE,AKAZE,MAT_BF,SEL_KNN,AKAZE_AKAZE_MAT_BF_SEL_KNN,12.32669944,2.185084297,8.95043,16.4663
AKAZE,AKAZE,MAT_FLANN,SEL_NN,AKAZE_AKAZE_MAT_FLANN_SEL_NN,12.29760667,2.06117048,9.05829,15.596
AKAZE,AKAZE,MAT_FLANN,SEL_KNN,AKAZE_AKAZE_MAT_FLANN_SEL_KNN,12.21880556,1.946231047,8.98138,15.1157
AKAZE,SIFT,MAT_BF,SEL_NN,AKAZE_SIFT_MAT_BF_SEL_NN,12.46082222,2.243113955,8.92519,17.0327
AKAZE,SIFT,MAT_BF,SEL_KNN,AKAZE_SIFT_MAT_BF_SEL_KNN,12.40734333,2.254884582,9.05731,16.7933
AKAZE,SIFT,MAT_FLANN,SEL_NN,AKAZE_SIFT_MAT_FLANN_SEL_NN,12.46188111,2.287587378,8.86839,17.135
AKAZE,SIFT,MAT_FLANN,SEL_KNN,AKAZE_SIFT_MAT_FLANN_SEL_KNN,12.42460667,2.2541946,9.0268,16.7511
SIFT,BRISK,MAT_BF,SEL_NN,SIFT_BRISK_MAT_BF_SEL_NN,11.78609778,2.584145571,8.74843,18.287
SIFT,BRISK,MAT_BF,SEL_KNN,SIFT_BRISK_MAT_BF_SEL_KNN,12.16121333,2.7380311,8.66395,19.0054
SIFT,BRISK,MAT_FLANN,SEL_NN,SIFT_BRISK_MAT_FLANN_SEL_NN,11.81776667,2.573978426,8.35302,18.1705
SIFT,BRISK,MAT_FLANN,SEL_KNN,SIFT_BRISK_MAT_FLANN_SEL_KNN,12.37280278,2.983670235,8.8251,20.1567
SIFT,BRIEF,MAT_BF,SEL_NN,SIFT_BRIEF_MAT_BF_SEL_NN,12.07303056,2.941279464,8.61236,19.2904
SIFT,BRIEF,MAT_BF,SEL_KNN,SIFT_BRIEF_MAT_BF_SEL_KNN,12.24849111,3.034103872,8.77203,20.585
SIFT,BRIEF,MAT_FLANN,SEL_NN,SIFT_BRIEF_MAT_FLANN_SEL_NN,12.38055833,3.132132056,8.61236,19.1002
SIFT,BRIEF,MAT_FLANN,SEL_KNN,SIFT_BRIEF_MAT_FLANN_SEL_KNN,12.51800111,3.451201999,8.56522,21.9718
SIFT,ORB,MAT_BF,SEL_NN,SIFT_ORB_MAT_BF_SEL_NN,11.77854556,2.641125637,8.67946,18.8656
SIFT,ORB,MAT_BF,SEL_KNN,SIFT_ORB_MAT_BF_SEL_KNN,11.76114333,2.46704793,8.60211,17.3577
SIFT,ORB,MAT_FLANN,SEL_NN,SIFT_ORB_MAT_FLANN_SEL_NN,11.83205278,2.477952812,8.51644,17.1669
SIFT,ORB,MAT_FLANN,SEL_KNN,SIFT_ORB_MAT_FLANN_SEL_KNN,11.831555,2.434237502,8.53472,16.8108
SIFT,FREAK,MAT_BF,SEL_NN,SIFT_FREAK_MAT_BF_SEL_NN,11.57152056,2.502354419,8.61262,17.5656
SIFT,FREAK,MAT_BF,SEL_KNN,SIFT_FREAK_MAT_BF_SEL_KNN,12.11525667,2.711186174,8.77203,19.2664
SIFT,FREAK,MAT_FLANN,SEL_NN,SIFT_FREAK_MAT_FLANN_SEL_NN,11.47099167,2.235807373,8.5422,16.306
SIFT,FREAK,MAT_FLANN,SEL_KNN,SIFT_FREAK_MAT_FLANN_SEL_KNN,12.76545889,3.038289614,7.9146,18.1627
SIFT,SIFT,MAT_BF,SEL_NN,SIFT_SIFT_MAT_BF_SEL_NN,11.81421,2.562991794,8.67362,18.6293
SIFT,SIFT,MAT_BF,SEL_KNN,SIFT_SIFT_MAT_BF_SEL_KNN,11.77790333,2.404321306,8.6871,18.3354
SIFT,SIFT,MAT_FLANN,SEL_NN,SIFT_SIFT_MAT_FLANN_SEL_NN,11.79988889,2.501882293,8.67362,18.287
SIFT,SIFT,MAT_FLANN,SEL_KNN,SIFT_SIFT_MAT_FLANN_SEL_KNN,11.73326056,2.436703395,8.62812,18.3354
