time, Quad.IMU.AX
0.979991,-0.668580
0.984991,0.195988
0.989991,0.654743
0.994991,-0.584115
0.999991,0.271320
1.004991,0.177064
1.009991,0.031141
1.014991,0.961328
1.019992,0.631351
1.024992,-0.067919
1.029992,-0.659626
1.034992,0.029778
1.039993,0.010472
1.044993,-0.034248
1.049993,0.729194
1.054993,-0.058689
1.059994,-0.141970
1.064994,-0.045252
1.069994,-0.274974
1.074994,-0.156453
1.079994,0.574546
1.084995,0.134393
1.089995,-0.112116
1.094995,-0.086010
1.099995,0.475321
1.104996,-0.125092
1.109996,0.522297
1.114996,-0.254107
1.119996,-0.118179
1.124997,-0.349266
1.129997,-0.803303
1.134997,0.350570
1.139997,0.146088
1.144997,-0.341844
1.149998,1.007867
1.154998,0.365673
1.159998,-0.028322
1.164998,-0.401430
1.169999,-0.157780
1.174999,0.426295
1.179999,0.229021
1.184999,-0.493013
1.190000,-0.462249
1.195000,-0.063040
1.200000,-0.192556
1.205000,0.048818
1.210001,0.072450
1.215001,-0.221538
1.220001,-0.847697
1.225001,0.691111
1.230001,-0.002798
1.235002,-0.483301
1.240002,-0.554501
1.245002,-0.258531
1.250002,-1.039230
1.255003,0.246438
1.260003,0.910930
1.265003,-0.358708
1.270003,-0.053420
1.275004,0.514751
1.280004,0.450784
1.285004,0.298013
1.290004,-0.893596
1.295004,0.113569
1.300005,0.241769
1.305005,0.065329
1.310005,-0.525400
1.315005,0.054029
1.320006,-0.164563
1.325006,0.367559
1.330006,0.014204
1.335006,-0.263118
1.340007,0.233102
1.345007,-0.432132
1.350007,0.114429
1.355007,-0.742884
1.360008,-0.244548
1.365008,-0.174177
1.370008,-0.301108
1.375008,1.201020
1.380008,-0.582511
1.385009,0.210917
1.390009,-0.138071
1.395009,0.180201
1.400009,-0.011294
1.405010,1.171819
1.410010,-0.146348
1.415010,-0.358256
1.420010,0.467255
1.425011,-0.353467
1.430011,0.912111
1.435011,-0.033176
1.440011,-0.118189
1.445011,0.517877
1.450012,0.023629
1.455012,-0.627842
1.460012,-0.187278
1.465012,0.247415
1.470013,0.236186
1.475013,0.711864
1.480013,-0.823192
1.485013,-0.420397
1.490014,0.467213
1.495014,0.599331
1.500014,0.179912
1.505014,0.093778
1.510015,0.490519
1.515015,-0.025118
1.520015,0.202811
1.525015,0.539650
1.530015,0.226416
1.535016,-0.828866
1.540016,0.030650
1.545016,-0.169406
1.550016,0.385619
1.555017,0.214644
1.560017,0.552917
1.565017,0.676319
1.570017,0.410891
1.575018,-0.871553
1.580018,-0.165064
1.585018,-0.614458
1.590018,-0.018647
1.595019,-0.127858
1.600019,-0.735875
1.605019,0.050712
1.610019,0.051557
1.615019,0.145698
1.620020,-1.053187
1.625020,-0.108619
1.630020,-0.423949
1.635020,0.657211
1.640021,0.466453
1.645021,-0.231984
1.650021,-0.552914
1.655021,-0.195194
1.660022,0.201628
1.665022,0.441740
1.670022,0.724729
1.675022,0.662460
1.680022,0.713444
1.685023,0.495535
1.690023,0.654134
1.695023,-0.005426
1.700023,0.053632
1.705024,-0.677541
1.710024,0.204403
1.715024,-0.125414
1.720024,-0.848879
1.725025,-0.155455
1.730025,-0.760526
1.735025,0.033080
1.740025,-0.062275
1.745026,0.313483
1.750026,0.080452
1.755026,-0.396826
1.760026,0.162411
1.765026,-0.070277
1.770027,0.232545
1.775027,-0.699243
1.780027,0.011965
1.785027,0.168432
1.790028,0.266611
1.795028,-0.207568
1.800028,0.460126
1.805028,-0.554945
1.810029,0.041861
1.815029,0.345570
1.820029,0.546130
1.825029,-0.372127
1.830029,0.103857
